ID,Type,Blast,Play,Sleep,Consume,Negativist,Process,Static,Vortical,Holographic,Causal,Dialectic,Dominant,Creative,Harmonizing,Normalizing
ENTJ_136_frame130,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ISTJc_147_frame320,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENFJc_44_frame230,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJ_97_frame70,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTP_159_frame490,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
INFJc_151_frame270,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESTJc_37_frame110,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTP_19_frame110,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ISTP_166_frame430,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ESTJ_61_frame180,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTJc_24_frame300,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_44_frame60,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTPc_107_frame100,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
INFJ_5_frame470,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ENTJc_79_frame50,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENTJ_132_frame460,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENFJ_170_frame500,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISTJc_150_frame460,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENFJ_94_frame500,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENFJ_89_frame390,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
INFP_1_frame260,INFP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ESTP_16_frame150,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTPc_110_frame330,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENFJc_48_frame250,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJc_155_frame250,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESFP_84_frame390,ESFP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ISFJc_119_frame70,ISFJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ENFJc_43_frame230,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFPc_104_frame60,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENTP_157_frame560,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ENFJc_43_frame50,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJc_151_frame40,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ISTP_167_frame40,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ESTJc_26_frame520,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_42_frame140,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTJc_80_frame110,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ISFP_173_frame370,ISFP_,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
ISFJ_172_frame460,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENFJc_45_frame430,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_51_frame350,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTPc_109_frame230,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENTJ_141_frame50,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESTP_20_frame580,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTJc_29_frame560,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_46_frame0,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTP_160_frame570,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
INTJ_12_frame440,INTJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ESTJc_36_frame260,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJ_8_frame210,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ENFJc_52_frame600,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_46_frame160,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INTJc_127_frame370,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ISFJ_171_frame130,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENFJ_89_frame420,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTP_18_frame260,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENTJc_83_frame440,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTJc_21_frame80,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTPc_107_frame60,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTPc_110_frame480,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
INTP_13_frame120,INTP_,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
ENFJc_45_frame140,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJ_97_frame290,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISFJ_172_frame110,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENTJc_80_frame460,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ISFJc_119_frame280,ISFJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ESTJc_22_frame30,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJc_154_frame450,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESFJc_77_frame320,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
INTJc_127_frame10,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ESTJ_61_frame340,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENFJ_88_frame590,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTJ_141_frame280,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENFJ_95_frame300,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTPc_109_frame90,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
INTJ_11_frame460,INTJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
INTJ_12_frame130,INTJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ISTJc_147_frame80,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESFJc_78_frame360,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESFJc_71_frame290,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTP_15_frame60,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENTJ_133_frame260,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESTJc_27_frame490,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTJ_136_frame60,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENTP_159_frame320,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ESTJc_31_frame260,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_41_frame160,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISTP_167_frame230,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ESTJ_57_frame80,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTP_18_frame20,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENTJc_83_frame130,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENFJ_89_frame150,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISFJ_171_frame440,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENFJc_52_frame370,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_42_frame550,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTJc_80_frame500,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
INTJ_11_frame500,INTJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ISTP_168_frame310,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENTJc_82_frame490,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTJc_31_frame50,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFP_0_frame500,INFP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ESTP_20_frame190,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTPc_112_frame100,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENTP_159_frame240,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ESTJc_29_frame170,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFPc_99_frame330,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ISTPc_67_frame30,ISTPc,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
ESTPc_115_frame470,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESFJc_78_frame200,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENTP_160_frame160,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ESTJc_22_frame110,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_46_frame570,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_52_frame210,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISFJ_171_frame520,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ISTP_166_frame0,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ISTP_167_frame350,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
INFJ_6_frame280,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
INFJc_153_frame530,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESTPc_109_frame350,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ISFP_173_frame210,ISFP_,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
ISFJ_172_frame500,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ESFP_85_frame180,ESFP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ESTJc_26_frame440,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTP_17_frame340,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENFJ_92_frame260,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENFJ_88_frame180,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
INTJ_12_frame520,INTJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
INFP_3_frame90,INFP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENTP_160_frame410,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ISTJc_145_frame110,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENTJ_134_frame300,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESTJc_29_frame400,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESFJc_76_frame10,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTJ_62_frame200,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTJc_81_frame40,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENFJc_48_frame480,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFPc_102_frame500,INFPc,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
ESTP_18_frame300,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENFJc_46_frame40,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJ_89_frame540,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
INTJc_127_frame210,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ESTJc_36_frame300,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTJc_22_frame460,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJ_8_frame370,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ESTJc_36_frame470,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJ_8_frame400,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ISFJ_171_frame60,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENFJ_89_frame230,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTJ_137_frame30,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ISTP_167_frame150,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENFJc_41_frame200,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTJ_57_frame340,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESFJc_74_frame510,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTPc_112_frame300,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTJc_24_frame50,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESFP_84_frame230,ESFP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ENTJ_133_frame100,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESTJ_62_frame570,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTJc_29_frame370,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFPc_99_frame130,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENFJc_50_frame180,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INTJ_12_frame250,INTJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENTP_160_frame360,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ENTJ_137_frame120,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENTPc_162_frame20,ENTPc,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
ESTJ_58_frame300,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTP_17_frame430,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENFJ_92_frame510,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTP_20_frame390,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTJ_62_frame70,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTJc_26_frame330,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISFP_173_frame560,ISFP_,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
ESTPc_109_frame420,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENFJc_45_frame220,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTP_20_frame90,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
INTJc_129_frame490,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ESTJc_25_frame0,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISTP_167_frame420,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ESTP_18_frame100,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTPc_117_frame290,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ISFJ_171_frame250,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ENFJc_39_frame330,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_46_frame200,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_52_frame560,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJ_8_frame170,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ESTJc_36_frame100,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISTJc_147_frame280,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENTJ_134_frame100,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESFJc_71_frame480,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTPc_106_frame30,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTJc_29_frame600,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFPc_99_frame440,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTP_14_frame410,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTPc_106_frame110,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENTP_157_frame20,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
INFJ_7_frame130,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ESFJ_70_frame90,ESFJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENFP_86_frame10,ENFP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ISTJc_148_frame20,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ISTP_166_frame10,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENFJ_88_frame380,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
